ID,Oku_Text,English_NIV_Equivalent
731,Ghɛ é nè ngoolen me suuy se ɛfeesene ghii ge: Ghεn fó ghεs nè moome kekaaken bek ge əbkaaken ə wɛse se liimee.,The foolish ones said to the wise 'Give us some of your oil; our lamps are going out.'
732,Ghɛne me fise ge: Eŋaŋ moo mɛ ghεs kiin liò əm jia kwεn se ghεsen ghel εjim.,"‘No,’ they replied, ‘there may not be enough for both us and you.'"
733,Ghεn ndu è yun mɛn ε kelik əbwεy.,"Instead, go to those who sell oil and buy some for yourselves.’"
734,Ghɛne ndu se yun lum əbvii gwiy ghene ghel ghε é nè luun kebaaten me lii se ndaa əbjen é me tεk əbchio ndaa è fen.,But while they were on their way to buy the oil the bridegroom arrived. The virgins who were ready went in with him to the wedding banquet. And the door was shut.
735,Ghɛne nêy fiile è se tiy ε bɛy jaŋe suuye ge: Babεy Babεy dise əbchio ndaa se ghεs.,"Later the others also came. 'Lord, Lord,' they said, 'open the door for us!'"
736,Lûm əbvii fise ge: Mε suuye əbluuy se ghεn ge mε báà se ke ghεn.,"But he replied, 'Truly I tell you, I don’t know you.'"
737,Jesus se ləysen suuye ge: Ghεn yε lu kebaaten bek ge ghεne báà se ke kechii kene əbliy wε mε náà kase gwiy ε ten.,"Therefore keep watch, because you do not know the day or the hour."
738,É náà loo lu əbliy fo ɛysak ə Feyine yɛ lu ka ngan yɛ kum wel wε əb nè loo ndu εyjel è jaŋte ghel εyfεl nə wen è fo əbkaa se ghεne ge é yese è yε béélé so.,"Again, it will be like a man going on a journey, who called his servants and entrusted his wealth to them."
739,Əb nè fo əbbuam əbkaa əbtan se wel əblee è fo se wel əblee əbbuam əbbua è fo kemok se wel əblee.,"To one he gave five bags of gold, to another two bags, and to another one bag, each according to his ability."
740,Əb nè foo wɛ wele kɛn ka lòó è yε ke əbliy wε əb fô dî è me lòò.,Then he went on his journey.
741,Wel εyfεl wε əb nè kiin əbbuam əbkaa əbtan kεεte kεn əbwεy so se əbliy è nêy yiε sɛk əbbuam əbkaa əbtan.,The man who had received five bags of gold went at once and put his money to work and gained five bags more.
742,Wel wε əb nè kiin əbbuam əbkaa əbbua kεεte sɛy əbwεy è yiε sɛk əbbuam əbbua.,"So also, the one with two bags of gold gained two more."
743,Dî wel wε əb nè kiin kebam əbkaa kemok ndu è tim εybee è lete əbkaa ba-εyfεl nə wen vi ε ten.,"But the man who had received one bag went off, dug a hole in the ground and hid his master’s money."
744,Ba εyfεl vi ndu è chii naa se njaŋ è nêy kase gwiy è jaŋte ghel εyfεl ghi ge ghene ghone kiynen ka ghene nè yesen è fεl nè əbkaa vii.,After a long time the master of those servants returned and settled accounts with them.
745,Wel wε əb nè kiin əbbuam əbkaa əbtan lii è nyiŋse əbbuam əbkaa εyvəmne è suuy ge: Babεy wè nè fo əbbuam əbkaa se mε əbtan mε nè yese è béélé əbwεy è yiɛ sɛk əbbuam əbkaa əbtan.,"The man who had received five bags of gold brought the other five. 'Master,' he said, 'you entrusted me with five bags of gold. See, I have gained five more.'"
746,Ba εyfεl me suuy se wen ge: Wè nεεy fo. Wè lu wel εyfεl əbjuŋ gese suuy əbluuy.,"His master replied, 'Well done, good and faithful servant!'"
747,Wè nè lò toknen nè fɛfafa ε jii εyjuη nε mε nêy lɛm wè é wè yε toknen nè əbdione.,You have been faithful with a few things; I will put you in charge of many things.
748,Gwiye é ghεsoo chɛkle.,Come and share your master’s happiness!'
749,Wel wε əb nè kiilen əbbuam əbkaa əbbua lii è nyiŋse əbbuam əbkaa əbkεεk è suuy ge: Babεy wè nè fo əbbuam əbkaa se mε əbbua mε nè yese è béélé əbwεy è yiɛ sɛk əbbuam əbkaa əbbua.,"The man with two bags of gold also came. 'Master,' he said, 'you entrusted me with two bags of gold; see, I have gained two more.'"
750,Wel wε əb nè kiin kebam əbkaa kemok gwiy è suuy ge: Babεy mε ke lòó wè yε kaa əbfua nε wè nè báà vii gese baate əbfua nε wè nè báà lem.,"Then the man who had received one bag of gold came. 'Master,' he said, 'I knew that you are a hard man, harvesting where you have not sown and gathering where you have not scattered seed."
751,Mε nè fane ge əbkaa ə viε lɛy è me tim ntiε è vii se ten.,So I was afraid and went out and hid your gold in the ground.
752,Yεn-a əb vine.,"See, here is what belongs to you.'"
753,Ba εyfεl me fise ge: Wè lu wel əbbee gese kwene.,"His master replied, 'You wicked, lazy servant!'"
754,Ke dine ge wè nè ke ge mε lu wel kaa əbfua nε mε nè báà vii gese baate əbfua nε mε nè báà lem?,So you knew that I harvest where I have not sown and gather where I have not scattered seed?
755,Nè nεεy ghe fε wè lɛm əbkaa ə wom ε εychia əbkaa é mε nêy gwiy è liε nè sɛk ε ketuu ten?,"Well then, you should have put my money on deposit with the bankers, so that when I returned I would have received it back with interest."
756,Əb me suuye ge: Ghεn fii əbkaa vin se biɛ vin è fo se wel wε əb kè gwiyen nè əbbuam əbkaa εyvəmne.,‘So take the bag of gold from him and give it to the one who has ten bags.
757,Ke me se lu ge naa ndε wε əb kiin lu nε é náà gise é əb ye ki əbfua ε mbvəəle.,"For whoever has will be given more, and they will have an abundance."
758,dî nε vi wε əb báà se ki lu nε ghεy-ghεy wε əb kiin lu nε é náà fii.,"Whoever does not have, even what they have will be taken from them."
759,Ghεn liε wele lólò vin è mak ε nfiine bene fε əb yε toŋ gese kfəle εsoŋ.,"And throw that worthless servant outside, into the darkness, where there will be weeping and gnashing of teeth.’"
760,Wanwele náà loo gwiy ka əbfon ghene nchiyse-ndaa nə wene è diom ε wen ə kaba əbghuy.,"When the Son of Man comes in his glory, and all the angels with him, he will sit on his glorious throne."
761,Əb naa diom ə əbtum əbjim ε mbi fεn baate ε wen εyshie é əb me giabsen ghene əblik əbbua ghεε-ghεε ka nchiy-bvəyse sɛε giabsen bvəyse njiε se sɛ ndoŋe.,"All the nations will be gathered before him, and he will separate the people one from another as a shepherd separates the sheep from the goats."
762,Əb náà giabsen dî è lɛm ghele ghέ titiye ε wen əbkoy əbtaa è me lɛm ghε é wiyen ε titiy ε wen əbkoy əbkiye.,He will put the sheep on his right and the goats on his left.
763,Əbfone náà giabsen dî è me suuy se ghel ghε é luun ε wen εybee əbkoy əbtaa ge: Ghεn ghε ba ə wom bosenmen ghεn gwiy è lii se mεmε εysak yε əb nè siysenmen se ghεn naa se nguk se kεètè ka é nè bomen mbi.,"Then the King will say to those on his right, 'Come, you who are blessed by my Father; take your inheritance, the kingdom prepared for you since the creation of the world."
764,Bek ge jeŋ nè yafe mε ghεn fó əbfua-əbyíéne se mε; kendoŋe moo se yome mε ghεn fó moo se mε; mε se lu kengwiy ghεn fiisen mε ε ghεne ndaase;,"For I was hungry and you gave me something to eat, I was thirsty and you gave me something to drink, I was a stranger and you invited me in,"
765,mε se jεle lu kenchokele ghεn fó mε nè ndəyse. Mε nè yafe ghεn gwiy è chakte mε. Mε se lu ε ndaa nchak ghεn gwiye è ghan mε.,"I needed clothes and you clothed me, I was sick and you visited me, I was in prison and you came to visit me.'"
766,Əb náà suuye di é ghele ghέ titiy ghii me bif se wen ge: Báàba ghεs nè yεn wè ghááy nε jeŋ yafe è fo əbfua-əbyíéne se wè?,"Then the righteous will answer him, 'Lord, when did we see you hungry and feed you,"
767,Ghεs nè yεn wè ghááy nε kendoŋe moo yume wè è fo moo?,or thirsty and give you something to drink?
768,Ghεs nè yεn wè ε leghε nε wè lu kengwiy ghεs fiisen wè ε ghese ndaase?,"When did we see you a stranger and invite you in,"
769,Ghεs nè yεn wè ε leghε nε wè lu kenchokele ghεs fo ndəyse se wè?,or needing clothes and clothe you?
770,Ghεs nè yεn wè ε leghε nε wè yafe ghεs gwiy è chakte wè?,When did we see you sick
771,Ghεs nè yεn wè ε leghε nε wè lu ε ndaa nchak ghεs gwiy è ghan wè?,or in prison and go to visit you?'
772,É əbfon me fise ge: Naa ghε kɛ ghεn ghε é luun ε wen εybee əbkoy əbkiye nε εfεyenmen se wan-nyii wε nchεk ε məmε ghone-nyii ghan lu nε ghεn nè nεεy nε lu se mε.,"The King will reply, 'Truly I tell you, whatever you did for one of the least of these brothers and sisters of mine, you did for me.'"
773,É əb suuy dî è me suuy se ghel ghε é luun ε wen εybee əbkoy əbkiye ge: Ghεn lòò se mε εyshie Feyine liŋmen ghεn.,"Then he will say to those on his left, 'Depart from me, you who are cursed, into the eternal fire prepared for the devil and his angels."
774,Ghεn ndu ε əbvəs wε əb fuon əbliy əbjim wε Feyine nè kwaaymen se Satan ghene nchiyse wene.,"Depart from me, you who are cursed, into the eternal fire prepared for the devil and his angels."
775,Bek ge jeŋ nè yafe mε ghεn jia fo əbfua-əbyíéne se mε kendoŋe moo se yume mε ghεn jia fo moo mε.,"For I was hungry and you gave me nothing to eat, I was thirsty and you gave me nothing to drink,"
776,Mε nè lu kengwiy ghεn jia fiisen mε ε ghεne ndaase mε se jεle kenchokele ghεn jia fo ndəyse se mε.,"I was a stranger and you did not invite me in, I needed clothes and you did not clothe me,"
777,Mε nè lò se yafe è nεy gese se lu ε nchak nε ghεne báà gwiy se ghane mε.,I was sick and in prison and you did not look after me.'
778,É ghεne me fise ge: Báàba ghεs nè yεn wè ghááy nε jeŋ yafe kene nε yume kendoŋe moo kene nε wè lu kengwiy kene nε wè jεle kenchokele kene nε wè yafe kene nε wè lu ε ndaa nchak è jia giamten wè?,"They also will answer, 'Lord, when did we see you hungry or thirsty or a stranger or needing clothes or sick or in prison, and did not help you?'"
779,É əbfon me fise ge: Mε suuy əbluuy se ghεn ge: Ka ghεn nè báà giamten wán-nyii wε nchεk ε məmε ghone-nyii ghan lu nε ghεn nè báà giamten nε lu mε.,"He will reply, 'Truly I tell you, whatever you did not do for one of the least of these, you did not do for me.'"
780,Jesus loo ləysen è suuy ge: Feyine náà mak ghii nê ghii se ngεk yε ey jia yî mεy dî è fo εychii yε ey jia yî mεy se ghel ghε é nεεyen kenəə kε əb kεŋen.,"Then they will go away to eternal punishment, but the righteous to eternal life."
781,Jesus mεyse εyyiεke yì εyjim è me suuy se ghon-εyfεl nə wene ge:,"When Jesus had finished saying all these things, he said to his disciples,"
782,Ke ghεn ke ge é lòó lun əbchii əbbua é yε yiε Kechii Ɛyboyse nε lu əbliy wε é nêy feene mε wε Wanwel è bante se kentam.,"‘As you know, the Passover is two days away—and the Son of Man will be handed over to be crucified.’"
783,Ko kεn əbliy fo ghele mbiye se ghέ ntanlee gese nè chεεse konen ε Kaiafase bεy wε ketuu se ghέ ntanlee è se siyse jii yε é nyiake è koo Jesus è yuy.,"Then the chief priests and the elders of the people assembled in the palace of the high priest, whose name was Caiaphas, and they schemed to arrest Jesus secretly and kill him."
784,Ghene loo siyse dî è me suuy ge: Lòó jia yε lu ε kechii keghakene fε ghele lose əbchio.,"‘But not during the festival,’ they said, ‘or there may be a riot among the people.’"
785,Jesus nêy lòò è ndu ε ntεke Betani è shik εyghan se Simon nε əb nè yimen yaf nè kensaasee.,"While Jesus was in Bethany in the home of Simon the Leper,"
786,Ghene loo yiε əbvii əblee chia è ndu ε Jesus εybee nε əb ki febel nè keyiósén əbkaa əbtaa lu ε ten è báà ɛ Jesus ə Ketuu,"a woman came to him with an alabaster jar of very expensive perfume, which she poured on his head as he was reclining at the table."
787,ghon-εyfεl nə Jesus yεn è se vəke ge: Əbvii vine jefse keyiósén kin lɛ bek ghε,"When the disciples saw this, they were indignant. 'Why this waste?' they asked."
788,nè kè lòò é feene keyiósén kin se əbkaa se εydio è gia əbkaa ten se ghέ ketane.,‘This perfume could have been sold at a high price and the money given to the poor.’
789,Ka ghene vəken dî Jesus keele è bif se ghene ge: Ghεne foo ngεk se əbvii vin se ghε?,"Aware of this, Jesus said to them, 'Why are you bothering this woman?'"
790,Əb dì nε nεεy nə lu naa kenəə kejuηe san.,‘She has done a beautiful thing to me.
791,Ghεne ghele ketane lu əbliy əbjim dî nε mε jia nêy yε lu ghεsen əbliy əbjim.,"The poor you will always have with you, but you will not always have me."
792,Keyiósén kε əbvii vin bààn ɛ mε əbghun lɛ lu nε əb yiose se siyse əbghun ə wom ka əbliye kwεn é gvəəme.,"When she poured this perfume on my body, she did it to prepare me for burial."
793,Ghεn yε ke se əbluuy ge naa ghááy wε náà yε fekte sakghε əbjuη nê vin ε ketuu ntiε kejim lu nε é ko náà yε fekte sɛy kenəə kε əbvii vin nεεyen se yε kuume wen.,"Truly I tell you, wherever this gospel is preached throughout the world, what she has done will also be told, in memory of her.’"
794,Wel əblee ε mεme ghon-εyfεl nə Jesus ghε njio-sebaa εyvəm nε é toŋte ge Judas Iskaliot nêy lòò ε keleŋ əbliy fo è ndu se ghele mbiye se ghé ntanlee,Then one of the Twelve—the one called Judas Iscariot—went to the chief priests
795,è bif se ghene ge: Mε lɛ nεεy ghne koo Jesus é ghεn fó ghε se mε?,"and asked, 'What are you willing to give me if I deliver him over to you?'"
796,Ghene yio dî è me taŋ εshiε əbkaa silva əmmtal è fo se wen.,So they counted out for him thirty pieces of silver.
797,Kεεte se əbliy fo Judas me se kεηe jii yε əb nêy din Jesus é é koo.,From then on Judas watched for an opportunity to hand him over.
798,Nεy loo lu ε kechii ké mbiye əbliy εyyiε keban kε tóó ghàà feshik è kaŋ ghon-εyfεl nə Jesus gwiy è bif se wen ge: Wè kεŋe ge ghεs nεyté əbfua-əbyíéne wε wè nêy yiε Kechii Eyboyse so ghááy?,"On the first day of the Festival of Unleavened Bread, the disciples came to Jesus and asked, 'Where do you want us to make preparations for you to eat the Passover?'"
799,Əb fise ge: Ghεn lii ndu ε mεme ntεk é ghεn yεn wel əblee è suuy se wen ge:,"He replied, 'Go into the city to a certain man and tell him:"
800,Ndinte suuy-a ge əbliy εykuo nə yi kwεnmen nε yi kεŋe ge ghene ghon-εyfεl nə yi yiε Kechii Eyboyse ε wene ndaa.,‘The Teacher says: My appointed time is near. I am going to celebrate the Passover with my disciples at your house.’'
801,Ghon-εyfεl nə Jesus ghii me nεεy kεn ka əb nè suuyen è me fεl əbfua-əbyíéne kechii εyboyse vi fo.,So the disciples did as Jesus had directed them and prepared the Passover.
802,Nêy se lu ε likfəə Jesus ghene ghon-εyfεl nə wen ghε njio-sebaa εyvəmε me diom è se yíɛ.,"When evening came, Jesus was reclining at the table with the Twelve."
803,Əb me suuy ge: Mε suuy kenəə è kan ndaa-əbluuye se ghεn ge wel əblee ε ghεne mεme nêy feene mε.,"And while they were eating, he said, 'Truly I tell you, one of you will betray me.'"
804,Kenəə tene nè lò fo ngek se ghene se ŋaŋ ghene me se bife femok femok ge: Lu mε-a? Babba?,"They were very sad and began to say to him one after the other, 'Surely you don’t mean me, Lord?'"
805,Jesus fise ge: Wel wε ghεse wene vii keghoo se kekan əbfua-əbyíéne nêy feene mε.,"Jesus replied, 'The one who has dipped his hand into the bowl with me will betray me."
806,Wanwel shi se kuo kεn ka é nyaken ε ŋwaale-Feyin dî nε ngek εytaa lu se wel vi wε əb feenen mε.,The Son of Man will go just as it is written about him. But woe to that man who betrays the Son of Man!
807,Nε nè lòó ke yε jof ge é jia bii wel nê vin naa se nkan.,It would be better for him if he had not been born.'
808,Judas wε əb kè feenen Jesus me bif sɛy ge: Lu mε-a Ndinte?,"Then Judas, the one who would betray him, said, 'Surely you don’t mean me, Rabbi?'"
809,Jesus fise ge: Lu ka wè suuyen.,"Jesus answered, 'You have said so.'"
810,Ghene loo yíɛ Jesus liε ntuke keban εylee è bèèlè Feyin è bεkte è fo se ghon-εyfεl nə wene è suuy ge: Ghεn ko è yiε lu əbghun ə wom.,"While they were eating, Jesus took bread, and when he had given thanks, he broke it and gave it to his disciples, saying, 'Take and eat; this is my body.'"
811,Jesus me gese liε əbbom əmnduk è bèèlè Feyin è gese suuy se ghene ge: Ghεn ko è nəə naa ghel εjim,"Then he took a cup, and when he had given thanks, he gave it to them, saying, 'Drink from it, all of you."
812,lu əmnduŋ mə mom mε kum kelek [kefεε]; əm leŋ bek ghel se εydio ka Feyine ləyse mbeese ghen.,"This is my blood of the covenant, which is poured out for many for the forgiveness of sins."
813,Ghεn keele ge mε jia bo yî kase nəə əmnduk min se chin se ka mε yî yε nəə kefεε ghεsen nε ba ə wom se sake əbfon ə wen.,"I tell you, I will not drink from this fruit of the vine from now on until that day when I drink it new with you in my Father’s kingdom.’"
814,Ghene me yem njàŋ εykokse ə Feyine è me fəy è se koke ε kfən koo Olif.,"When they had sung a hymn, they went out to the Mount of Olives."
815,Jesus suuy se ghene ge: Ghεn ghel εjime nêy nyiη nε εyio bek kenəə kε ke nêy gan san.,"Then Jesus told them, 'This very night you will all fall away on account of me,"
816,Nε lu ka é nyake ε ŋwaale-Feyin ge: “Mε nêy yuy nchiy-bvəyse é kenon ə bvəyse takle.,"for it is written: 'I will strike the shepherd, and the sheep of the flock will be scattered.'"
817,Dî nε Feyine nêy lose mε se εykuo é mε lòò è ndu se Galilee ε ghene mbiy.,"But after I have been raised, I will go ahead of you into Galilee.’"
818,Bita me suuy ge: Ghele chèmè nêy nyiη wè naa εjim é mε jia nyiη se ten.,"Peter replied, 'Even if all fall away on account of you, I never will.'"
819,Jesus suuy se wen ge: Ké əbluuye kεn nε ntəke lan lumngvəə nêy yε ghan ge əb toŋ nε wè maamen mε kaŋ εtal.,"'Truly I tell you,' Jesus answered, 'this very night, before the rooster crows, you will disown me three times.'"
820,Bita ko gok kεn ké wene ge: Chèmè lu nε mε nêy kuo ghεsoo é mε jia maa wè!,"But Peter declared, 'Even if I have to die with you, I will never disown you.'"
821,Ghon-εyfεl εjime me chìntèn è suuy kɛn dî.,And all the other disciples said the same.
822,Jesus lòò ghene ghene mè se nduu ε kelik kelee nε é toŋte ge Getsemane é ndu è chin əb suuy se ghon-εyfεl nə wen ghii ge: Ghεn diom fεn é mε keŋte ndu ε mbiy è jem.,"Then Jesus went with his disciples to a place called Gethsemane, and he said to them, 'Sit here while I go over there and pray.'"
823,əb suuy dì è me lie Bita ghene ghon ə Zebedee εluumene εbaa ghene ghene keŋte ndu.,"He took Peter and the two sons of Zebedee along with him, and he began to be sorrowful and troubled."
824,Ketuu toŋ wen εyteme wene me kεεte se chiηe naa se ŋaη.,"Then he said to them, 'My soul is overwhelmed with sorrow to the point of death. Stay here and keep watch with me.'"
825,əb me suuy se ghene ge: Kenəə kelee foo ngek ε mε εytem nε lòó ke yuy mε. Ghεn yε lu fεn è mε εybee keke.,"Then he said to them, 'My soul is overwhelmed with sorrow to the point of death. Stay here and keep watch with me.'"
826,əb suuy dì è me lòò è keŋte ndu ε mbiy se εylaay è təm əblɛε ε ntiε è jem ge: Ba ə wom loo lu nε lòó nε nεεy ge ghàà mε nəə ε te əbbome ngεkse ghan wè nεεy.,"Going a little farther, he fell with his face to the ground and prayed, 'My Father, if it is possible, may this cup be taken from me. Yet not as I will, but as you will.'"
827,Dî nε ghàà nεεy ε mε εykoη nεεy ε wè εykoη.,"Yet not as I will, but as you will.'"
828,əb jem dì è me kase fiile è ndu bene fε ghon-εyfεl nə wen ghε εtal ghii nè luun è yε nε ghene buunee.,Then he returned to his disciples and found them sleeping. 'Couldn't you men keep watch with me for one hour?' he asked Peter.
829,əb me bif se Bita ge: Lε lu ge kè lòó ghεn jia yε kek jeme ghεsen kɛn naa se chuy εymok-a?,'Couldn't you men keep watch with me for one hour?' he asked Peter.
830,Ghεn yε chiy gese jeme ka ghεne jia fεy se mεme εymomse.,'Watch and pray so that you will not fall into temptation.
831,Ghεn yε ke ge εyteme koηe se yε nεεy εyfεl εyjuηe dî nε əbghune kwene.,"The spirit is willing, but the flesh is weak.'"
832,əb kase ndu se jem ge kaŋ εbaa è jem ge: Ba ə wom loo lu ge lòó əbbome ə ngεkse vin jia fəy se mε keghoo buu ge mε nəə ke yε lu kεn ka wè kεŋen.,"He went away a second time and prayed, 'My Father, if it is not possible for this cup to be taken away unless I drink it, may your will be done.'"
833,əb mεyse εyjem è kase fiile ghaa ghon-εyfεl nə wen ghii nè luun è gese yε nε ghene ko bo buune bek ka mbuunese nè diilen ε ghene εshiε naa se ŋaη.,"When he came back, he again found them sleeping, because their eyes were heavy."
834,əb me gese lòò è vəse ghene è ndu se jem ge kaŋ εtal è jem kɛn ka əb kè se jemen.,"So he left them and went away once more and prayed the third time, saying the same thing."
835,əb jem dì è kase gwiy se ghon-εyfεl nə wene nε ghene ko bo buune è suuy ge: Ghεn ko bo tɛse buune-a?,"Then he returned to the disciples and said to them, 'Are you still sleeping and resting?"
836,Yεn-a əbliye baksenmen wε é feene Wanwel se ghele mbeese.,"Look, the hour has come, and the Son of Man is delivered into the hands of sinners."
837,Ghεn loolé é ghεsen yε ndu. Wel wε əb feenen mε se gwiye.,Rise! Let us go! Here comes my betrayer!'
838,Se lu kɛn ka Jesus suuyen dî Judas wε nè luun wel əblee ε mεme ghon-εyfεl nə wen ghε njio-sebaa εyvəm me tum fo.,"While he was still speaking, Judas, one of the Twelve, arrived. With him was a large crowd armed with swords and clubs,"
839,əb nè gwiye nè ngoo wel nε é ki fiakse nè əbbule nε tum ghele mbiy se ndaa-εykokse Feyin gese nè chɛɛse.,sent from the chief priests and the elders of the people.
840,Nè lu dî nε Judase siysemen ghene ghene ge ghene nêy yεn nε yi chakte wel nè εyŋvəmlee fene lu-a wen ghene me koo.,Now the betrayer had arranged a signal with them: 'The one I kiss is the man; arrest him.'
841,Ghene ghene gwiy è chin ε leghɛ Judas chia è teem ε Jesus εyshiε è chakte wen ge: Ndinte mε chakte wè è me baamé wen.,"Going at once to Jesus, Judas said, 'Greetings, Rabbi!' and kissed him."
842,Jesus suuy se wen ge: Bε ə wom nεεy yi kenəə kε wè kεŋen se nεεy.,"Jesus replied, 'Do what you came for, friend.'"
843,Ghel ghii me kaame ε Jesus ε ketuu è faŋ wen.,"Then the men stepped forward, seized Jesus and arrested him."
844,Wel əblee wε ghene ghe Jesus nè luun fo sasen è guf fiak ə wen se əbkuu è gwel kekos se ketuu se ghé ntanlee so è kεf ketuule.,"With that, one of Jesus’ companions reached for his sword, drew it out and struck the servant of the high priest, cutting off his ear."
845,Jesus kεy è suuy se wen ge: Kase vii fiak ə viε se əbkuu.,"‘Put your sword back in its place,’ Jesus said to him,"
846,Yεε ke ge naa ndε wε əb chóken fiak lu nε əb nêy kuo εykuo nε ey ko chia nε lu ε fiak.,‘for all who draw the sword will die by the sword.
847,Wè báà se ke ge kè lu əbnoo é me suuy se Ba ə wom é əb tinse əbnone nchiyse-ndaa nə wen ε nkamse nkamse əbliy əbmok é ghene gwiy è noo san-a?,"Do you think I cannot call on my Father, and he will at once put at my disposal more than twelve legions of angels?"
848,Mε lɛ nεεy dì é kenəə kε é nyaken ε ŋwaale-Feyin ge ke lu se gan bo náà ghan lɛɛy se geese gan?,But how then would the Scriptures be fulfilled that say it must happen in this way?’
849,Jesus suuy dì è me bif se ngoo wel yi ge: Ghεn bèyten fiakse gese nè əbbule ka é jume nɛ lu əbchoŋ se gwiy se koo mε-a?,"In that hour Jesus said to the crowd, 'Am I leading a rebellion, that you have come out with swords and clubs to capture me?"
850,Nè tun ghε ge ghàà ghεn koo mε əbliy wε mε nè yesen dinten əbnəə se ghele ε ndaa-εykokse kechii nè kechii?,"Every day I sat in the temple courts teaching, and you did not arrest me."
851,əbnəə vin lɛ gan lɛ se lunse əbluuy əbnəə wε ghele ntum nə Feyine nè nyaken ε ŋwaale-Feyin.,But this has all taken place that the writings of the prophets might be fulfilled.’
852,Ka é koon Jesus dì ghon-εyfεl nə wene me vəse wen è nyiηke εjim.,Then all the disciples deserted him and fled.
853,Ghel ghε é nè koon Jesus ghi me liε wen è ndu so se Kaiafase bεy wε ketuu se ghέ ntanlee.,"Those who had arrested Jesus took him to Caiaphas the high priest, where the teachers of the law and the elders had assembled."
854,Ghene nè nduu dì nε ndintese tesake ghene chεɛse εylak foo kè shi fo chiytee.,"Those who had arrested Jesus took him to Caiaphas the high priest, where the teachers of the law and the elders had assembled."
855,É loo ndu nè Jesus dì Bita se nyiake nduu εybam dî nduu baksen wiy se ghene.,"But Peter followed him at a distance, right up to the courtyard of the high priest."
856,əb ndu è chin ε ntetembəy nə ketuu se ghέ ntanlee è chia diom ghene nchiyse-ndaa è se yiote ge é sɛ gan ghε se Jesus-a?,He entered and sat down with the guards to see the outcome.
857,Ghele mbiy se ghé ntanlee ghene ghel εjim ghε é nè luun ε εydiom fo me se kεηe kenəə kε toy ε Jesus əbghun ka é yuy wen; è chèmè jia yεn ghεy.,"The chief priests and the whole Sanhedrin were looking for false evidence against Jesus so that they could put him to death. But they did not find any,"
858,Naa nε ghel əbbuame teem naa se εydio è se toye əbnəə ε Jesus əbghun!,though many false witnesses came forward.
859,Ke ghak ghel εlee din ketuu εbaa è suuy ge: Biε vin ne suuy ge lòó yi sakte ndaa-εykokse nə Feyine è kase bom εychin se əbchii əbtal.,"Finally two came forward and declared, 'This fellow said, 'I am able to destroy the temple of God and rebuild it in three days.''"
860,Ketuu se ghé ntanlee me loole è teem εyyio è bif se Jesus ge: Wè lɛ ki kenəə se suuy ε kenəə kε ghel ghine suuyen kum wè-a?,"Then the high priest stood up and said to Jesus, 'Are you not going to answer? What is this testimony that these men are bringing against you?'"
861,Jesus gok kεn ε chichi.,But Jesus remained silent.
862,Ketuu se ghé ntanlee ki me suuy se wen ge mε suuy ge wè kan εyghel ə Feyin Fε Fe chiin ge wè sɛ lu Vi wε Feyine nè Yiosen wè luun wán ə Feyin-a.,"The high priest said to him, 'I charge you under oath by the living God: Tell us if you are the Messiah, the Son of God.'"
863,Jesus fise ge: Ke lu ka wè suuyen.,"'You have said so,' Jesus replied."
864,Dî nε ghεn gese yε ke ge é lòó moote é ghεn yεn Wanwel nε əb diom ε εybee əbkoy əbtaa nə Feyine Wε Ba-əbtaawe-əbjim è gese yεn nε əb gwiye ε mεme mbàke sé εyyio.,‘But I say to all of you: From now on you will see the Son of Man sitting at the right hand of the Mighty One and coming on the clouds of heaven.’
865,Ketuu se ghé ntanlee yio dî è me sas ndəyse wen nè ngeŋ wen è suuy ge: Wel vin tεymen Feyin.,"Then the high priest tore his clothes and said, 'He has spoken blasphemy!"
866,Lòó é jia bo yε kɛŋe kenəə kεŋen kum wen.,Why do we need any more witnesses?
867,Ghεn lu nε é yio sɛy ka əb tεyen Feyin.,"Look, now you have heard the blasphemy."
868,Ghεne kwaate ge é nεεy lééy nè wen? Ghene fise naa ghel εjim ge é yuy wen.,"What do you think?' 'He is worthy of death,' they answered."
869,Ghel εlee me tio teliε ε Jesus εykek ghel εlee kfənle wen nε εlee saaye εghoo ε wen εykek.,Then they spit in his face and struck him with their fists. Others slapped him
870,Ghene nεεy əbnəə vin se Jesus dì è me se wεysee bife se wen ge: Wè wε wè been ge wè lu Vi wε Feyine nè Yiosen lɛ lòó wè din wel wε əb tèlèn wè-a?,"and said, 'Prophesy to us, Messiah. Who hit you?'"
871,Ka é nεεyen dî nε Bita ko diom kεn se ntetembəy fo.,"Now Peter was sitting out in the courtyard,"
872,Wándε əbvii əblee wε əb nè félen ε bεy fo yεn wen è ndu è suuy se wen ge: Wεε wè sɛy nè lô se lu ghεne Jesus wê Galilee vi.,"and a servant girl came to him. 'You also were with Jesus of Galilee,' she said."
873,Bita maa lɛ keful ε εyshiε nə ghel εjime è suuy ge: mε báà se ke kenəə kin kε wè suuyen se mε.,"But he denied it before them all. 'I don’t know what you’re talking about,' he said."
874,əb maa dî è me lòò se fo è ndu è teem jii əbchio bεy.,"Then he went out to the gateway,"
875,Wándε əbvii əblee wε əb ko nè félen ε bεy fo sɛy gese yεn wen è suuy se ghel ghε é nè teem fo ge: Wel vin nè lô se lu ε ngoo nə Jesuse wê Nazalet.,"where another servant girl saw him and said to the people there, 'This fellow was with Jesus of Nazareth.'"
876,Bita gese maa è kan εyghele Feyin ge yi báà se ke wen.,"```He denied it again, with an oath: 'I don’t know the man!'"
