source,target
translate Oku to English: ǝb gese bif se ghene ge: Wel we ghene kenen lu nde?,"Again he asked them, 'Who is it you want?'"
translate English to Oku: In the same way let your light shine before others that they may see your good deeds and glorify your Father in heaven.,Ghɛn yɛ nɛɛy əbnəə əbjuŋe kɛn ɛ jii nê ghan ka ghele yɛ yɛn me kokse Ba ə wɛn wɛ əb luun ɛ ɛyyio.
"translate English to Oku: 'Truly I tell you, anyone who will not receive the kingdom of God like a little child will never enter it.'","'Mɛ suuy se ghen ge: Wel ejim wɛ ab băǎ se jame tefon na Feyin geese nɛ wán-əbnyinyek mok-a, ab băǎ bɛey jame ɛ ten mok-a.'"
"translate Oku to English: Wel ejim wɛ ab nè yion kenəə na ghen, ab nè yio kenəə na yom. Wel ejim wɛ ab nè lake ghen, ab nè lake mɛ. Nɛ wel ejim wɛ ab nè lake mɛ, ab nè lake Wel wɛ ab me tumen mɛ.""","Whoever listens to you listens to me; whoever rejects you rejects me; but whoever rejects me rejects the one who sent me."""
translate Oku to English: Ke lu kejuŋ se ghel ghɛ é diyen bek ge Feyine náà chəmsen ghene.,Blessed are those who mourn for they will be comforted.
translate English to Oku: Go and tell my brothers to go to Galilee; there they will see me.’,Ghen ndu è suuy se ghele ngoo nə mee ge ghene ye ndu e Galilee bene fe ghese ghene konen.
"translate English to Oku: ’The first,’ they answered.",Ghene fise ge: Wɛ ngɛsewel.
"translate Oku to English: Ghene sey tel wen è jum, əb fiile eghoo eyum.",But the tenants beat him and sent him away empty-handed.
"translate Oku to English: 18 Wele ghal yio, kene əb nəə nlik, é kenǝǝ jia kooy se wen. Ghene nêy ye lem eghoo ε ghel syafkene ǝbtuu, ne ghene bonene.","they will pick up snakes with their hands; and when they drink deadly poison, it will not hurt them at all; they will place their hands on sick people, and they will get well."""
translate Oku to English: Wel vi me suuy ge: Báàba,me lu ne me fő eytem se wè. Əb suuy di
"translate Oku to English: Əb me bif se ghene ge: Lu bek ghe we ghene fanen, ghen chèmè beɛy ghàà fo cytem se me-a?","He said to his disciples, ""Why are you so afraid? Do you still have no faith?"""
"translate English to Oku: His disciples asked him, ""Rabbi, who sinned, this man or his parents, that he was born blind?”",Ghene neey kenaa ke ba a wen nè neeyen.
"translate English to Oku: I have told you these things, so that in me you may have peace.",Me suuymen əbnəə vin se ghen ka ghesene gok se kefaa kemok é ghen ye ki ǝmnyian.
"translate Oku to English: Mẹ nêy tum wán a wom we me korjen, & lefelee ghene ngvamle wen.","'""I will send my son, whom I love; perhaps they will respect him."""
translate Oku to English: Jesus suuy se ghene ge: Με suuy ǝbluuy se ghen ge naa nde we ab neeyen mbee,lu kekos se mbee.
translate Oku to English: Wel wε əb chian ghel εjim ε ghεne məm lu vi wε əb səksen ngeŋ ə wen ε ntiε,è se fεle se wel əbjim.
"translate Oku to English: Lu bek kii nɛ mɛ suuy se ghen ge: Chakteen, nǎǎ ye fo se ghen. Keleeen, nǎǎ ye yen. Kookseen eychie-ndaa, nǎǎ ye fole se ghen.","""So I say to you: Ask and it will be given to you; seek and you will find; knock and the door will be opened to you."
translate Oku to English: Me se me ngen báà se kɛje ge ghele ye ngvamle me.,"“We know he is our son,” the parents answered, “and we know he was born blind."
"translate Oku to English: Wel əmoke gese me suuy ge: ""Bay, mɛ nǎǎ ye koŋ wè, dí fò geese eysak se mɛ ge mɛ ndu è me koo-ndaa se ghel ɛ ndaa na yom.""","Still another said, ""I will follow you, Lord; but first let me go back and say goodbye to my family."""
translate Oku to English: Eyban nê yine lu nkante kekaaken ke ke gwiyen e mbi è se foo cyban se wel ǝbjim.,The true light that gives light to everyone was coming into the world.
translate Oku to English: Kii nê kine báà me se lu ge wel nè yenmen Bay.,No one has seen the Father
translate Oku to English: Ghene ghel ejim bif ge: Ke dine ge wè lu wán Feyin-a? Əb fise ge: Ke lu ka ghen suuyen.,"They all asked, 'Are you then the Son of God?' He replied, 'You say that I am.'"
translate English to Oku: But Jesus remained silent.,Jesus gok kεn ε chichi.
translate Oku to English: Jesus gese maa ngan εylee ge: Εysak ə Feyine lu ka εyhiε ngose fekak yε wel nè liεn è mak ε wen εylem.,He told them another parable: 'The kingdom of heaven is like a mustard seed which a man took and planted in his field.'
translate Oku to English: Dinte əbnəə se ghele ɛ ghene ngayse ɛyjem.,Teaching in their synagogues.
"translate English to Oku: Then their eyes were opened and they recognized him, and he disappeared from their sight.",Ghene ghene ndu è loo beste e ntɛk ye ghene nè nduun e ten Jesus se nɛɛye ka ǝb chia chian.
"translate Oku to English: Judas me beeme, è se kerne jii ye lòó ab din Jesus é koo ne ghele ke wiy.","He consented, and watched for an opportunity to hand Jesus over to them when no crowd was present."
translate Oku to English: 'Wè nè koŋen ge mɛ neey ndɛ-a se wè-a?','What do you want me to do for you?'
translate Oku to English: É nè nyak ge: É nè chinten wen ghene ghele mbee.,"Yes, what is written about me is reaching its fulfillment.'"
"translate English to Oku: He began to call down curses, and he swore to them, ""I don’t know this man you’re talking about.""","Bita me lek ge: Lòò ye lu ne me yia əbbuam, Feyine mak ngek se me ketuu. Mẹ báà se ke wel we ghene surŋnen kum wen."
translate English to Oku: 'They devour widows' houses and for a show make lengthy prayers.',"Ghene fii abfua əbkiy-nkfə, di fefse ghel nè eyjem cydia ye ghene jemen."
"translate Oku to English: Lu eynkii mbukma eyke yin lɛ, ye Feyine nɛɛyen ge No Báába ə wom gwiy è ghan mɛ?","But why am I so favored, that the mother of my Lord should come to me?"
"translate English to Oku: because his only daughter, a girl of about twelve, was dying. As Jesus was on his way, the crowds almost crushed him.","bek ka wán-əbvii na wen wen-moke wɛ ab lu nè tefə̀ njon-sebaa nè luun eyyio ɛ kfən-eykuo. Se lu ka Jesus nè nduun di, ghel me se nyake wen."
translate English to Oku: So he got up took the child and his mother during the night.,Josɛf me loole kɛn nɛ ntəke è liɛ wán ghene no ə ten.
"translate English to Oku: When the servant girl saw him there, she said again to those standing around, ""This fellow is one of them.""","Wánde ǝbvii vi gese yen wen fo, è me gese se suuye se ghel ghe é nè tiyen fo ge: Vin lu wele ngoo na Jesus ǝblee."
translate English to Oku: è bàklè kengɛy è kal εyleme ten so è siysɛ kelik ε εytijy kɛ ε yɛ nεyte əmnduk ε ten,Wel əblee nè lô dise εylem əmtam mε ε sɛɛ nεyte əmnduk so
"translate Oku to English: Jesus me suuy njǎŋ nè vin se ghel ghé eb nè keeleen ge ghene lu ghel-əbjuŋ, è ghene me ntanle ghel əmoke abjim di ge:","To some who were confident of their own righteousness and looked down on everyone else, Jesus told this parable:"
translate Oku to English: Nè lu ɛ əbliy fo nɛ Jesus nè nduun eyyio ɛ kfən əmoke ge ab ye yeme. əb me neey nchuy vi abjim è yeme se Feyine.,"One of those days Jesus went out to a mountainside to pray, and spent the night praying to God."
translate Oku to English: Dî ghel ɛyfii shile ghene əbjɛle bɛɛme.,but the tax collectors and the prostitutes did.
"translate Oku to English: 'Dí Abaham me fise ge: ""Moses gese nè tefon na Feyin me lu nè ghene, ghene yioen əbnəə wɛ ghene me suuy di."""",'Abraham replied","They have Moses and the Prophets; let them listen to them."""""""
translate Oku to English: Yi ne lô yen ngek e jemse ne ntǝke kum wel nê vi.,for I have suffered a great deal today in a dream because of him.’
translate English to Oku: The Very Truly Shepherding Figure,Ngan kum nchiy-bvǝyse
"translate English to Oku: But some of them said, ""By Beelzebub, the prince of demons, he is driving out demons.""","Dí ghel əmoke me suuy ge: ""Ab nè lúúsen teyioy əbe nè abtaa na Beelzebul wɛ ab lu wele-kfə̀ na teyioy əbe."""
"translate Oku to English: “Eykokse lu se Feyine eyyio, nɛ eyzəəte lu ɛ ketuu ntic, se ghel ghɛ Feyine koŋen.”","""Glory to God in the highest heaven, and on earth peace to those on whom his favor rests."""
"translate Oku to English: ""Mɛ me gwiy ge mɛ ye bose eynnyii ɛ eysak, nɛ mɛ me koŋen ge eynnyii di me seenmen geese!","""I have come to bring fire on the earth, and how I wish it were already kindled!"
"translate Oku to English: Jesus suuy se ghene ge: Ghen fó zytem se Feyine,","""Have faith in God,"" Jesus answered."
"translate English to Oku: When Jesus entered the temple courts, he began to drive out those who were selling.","Jesus me ndu è lii se ndaa-eykokse, è me se jume ghel ghe é nè béélen ǝbwey fo."
translate Oku to English: Ketuu se ghé ntanlee me loole è teem εyyio è bif se Jesus ge: Wè lɛ ki kenəə se suuy ε kenəə kε ghel ghine suuyen kum wè-a?,"Then the high priest stood up and said to Jesus, 'Are you not going to answer? What is this testimony that these men are bringing against you?'"
translate Oku to English: Nchiyse-ndaa nə Feyine gwiy è giamten wen.,Angels came and attended to him.
"translate Oku to English: Nduen! Yen-a, mɛ nè tumen ghen ka te-wán-be-eysak ɛ kebaaten te-eysak-eybee.",Go! I am sending you out like lambs among wolves.
"translate English to Oku: Taking the five loaves and the two fish and looking up to heaven, he gave thanks and broke the loaves. Then he gave them to his disciples to distribute to the people.","Əb me lie ntukse keban se setan shi nè səə se sebaa shi è kiy eyyio, è bèèlè Feyin, è bekte keban ki, è fo se ghon-eyfel nə wene ge é giate se ghele."
"translate English to Oku: Then Jesus went with his disciples to a place called Gethsemane, and he said to them, 'Sit here while I go over there and pray.'",Jesus lòò ghene ghene mè se nduu ε kelik kelee nε é toŋte ge Getsemane é ndu è chin əb suuy se ghon-εyfεl nə wen ghii ge: Ghεn diom fεn é mε keŋte ndu ε mbiy è jem.
translate Oku to English: è suuy se wen ge: Ndu è suu eshie a ghie e kechǝme Siloam. (Eyghel ye Siloam yin lu ge: É tum tumen.) Wel vi ndu è suu eshie ǝ wen è kase fiile ne əb se yene ǝblik.,"“Go,” he told him, “wash in the Pool of Siloam” (this word means “Sent”). So the man went and washed, and came home seeing."
"translate Oku to English: ǝb ney lòò, è vase ghel ghi è kfǝǝy se ndaa, ghon-eyfel nə wene bif se wen ge ngan yin se surjnen kum ghe-a?","After he had left the crowd and entered the house, his disciples asked him about this parable."
"translate English to Oku: They are not of the world, even as I am not of the world.","Ghene báà se lu ghele mbi, ken ka me báà se lu wele mbi."
"translate English to Oku: Then he rolled up the scroll, gave it back to the attendant and sat down. The eyes of everyone in the synagogue were fastened on him.","Jesus kfiy nwaale vi di, è me fo se wel eyfɛl, è me jame eyshee. Ghel ejim ghé é nè luun ɛ ndaa-eyjame di toknen eysen se wen."
translate English to Oku: salvation from our enemies and from the hand of all who hate us—,yi nàà fii ghesen se eghoo na ghel ə abbaanese na ghesene.
translate Oku to English: Kene nde se yuye we?,"At that point some of the people of Jerusalem began to ask, ""Isn’t this the man they are trying to kill?"
translate Oku to English: è kase fiile è gwiy è se suuye ge ghene kè lô yen nchiyse-ndaa nə Feyine ey suuy ge ǝb bo bezy ǝbtaa.,"'Then some of our companions went to the tomb and found it just as the women had said, but they did not see Jesus.'"
"translate English to Oku: And no one after drinking old wine wants the new, for they say, 'The old is better.'""""
ID,Oku_Text,English_NIV_Equivalent
2014,Nè lu ɛ kechii kə eyzəəte əmoke","Wel əmoke wɛ ab nǎǎ amnduk amloote bǎǎ se koŋ amnduk ammeen mok-a, bek ka ab suuyen ge: Amnduk amloote di me bǎǎ."
translate English to Oku: Some claimed that he was.,Ghen lu ghone Ba ǝ wen we Satan.
"translate English to Oku: ""Some fell on rocky places, where it did not have much soil. It sprang up quickly, because the soil was shallow.""","Eylee chemke ǝbkuk ɛtiy, ghaa ntie ne luun se eylaay è me fǝyke chikiy chikiy bek ka ntie nè báà se ki kefif se eydio."
translate English to Oku: he asked,"Ndinte-tefise-te-nchil əblee me lii è se bǎǎ se lake Jesus, è me bife wen ge: ""Ndinte, mɛ nǎǎ ye neey jii ghɛ-a ge mɛ yen ntie-eyjame wɛ ab băǎ nè ammtə̀-a?"""",On one occasion an expert in the law stood up to test Jesus. """"Teacher"
"translate Oku to English: Əbchio yum ghene, ghene gok & chichi bek ka ghene nè báà se ki kenǝǝ ke toy wen so e ghele eyshie.","They were unable to trap him in what he had said there in public. And astonished by his answer, they became silent."
"translate English to Oku: The expert in the law replied, ""The one who had mercy on him."" Jesus told him, ""Go and do likewise.""","Ndinte-tefise-te-nchil vi me fise ge: ""Lu wel wɛ ab nè koosen eysen se wen di."" Jesus me suuy se wen ge: ""Ndu è wè ye neey sêy geese."""
"translate English to Oku: The second one married the widow, but he also died, leaving no child. It was the same with the third.","Kenkumtene lem ǝbvii vi, è kuo ghàà wan, eybam ǝ wene lem, ke gan kɛn dì."
translate Oku to English: Ghel elee suuy ge é yiote we yio ge Elija se gwiy è giamten wen-a?,"The rest said, ‘Now leave him alone. Let’s see if Elijah comes to save him.’"
translate Oku to English: ka ghel ghe é foon sytem se wene kiile sychii yɛ ɛy jia yî mey.,that everyone who believes may have eternal life in him.'
"translate English to Oku: Meanwhile, when a crowd of many thousands had gathered, so that they were trampling on one another, Jesus began to speak first to his disciples, saying, ""Be on your guard against the yeast of the Pharisees, which is hypocrisy.","Se lu ka ghel sê eydio naa se eydio nè saankennen di, è ghene me se kfə̀lte se ghene-ghene, Jesus me keete se ye suuy se ghel eyghoŋ na wen geese ge: ""Ghen boyseen ghen kum eychuu-eyshee na Balisi, wɛ ab lu əbe-əbchuu."
"translate Oku to English: Wel əmoke gese me suuy ge: 'Mɛ me bosemen əbvii nè vin, lu bek kii nɛ mɛ băǎ bɛey gwiy mok-a.'","""Still another said, ’I just got married, so I can’t come.’"
translate Oku to English: Jesus suuy se wen ge: Με suuye kenǝǝ ke ǝbluuy se wè ge ghesoo nêy ye lu e kelik eyzəəte lan.,"Jesus answered him, 'Truly I tell you, today you will be with me in paradise.'"
translate English to Oku: Jesus stepped into a boat crossed over and came to his own town.,Jesus nɛy lii se kenək è se kase diaŋe se wen ə ntɛk.
translate Oku to English: Nɛɛy é ɛysak ə yiɛ gwiy se ghele.,Your kingdom come.
translate Oku to English: Jesus fise ge: Naa nde we ab konen me ye nery kenǝǝ ke me suuyen.,"Jesus replied, 'Anyone who loves me will obey my teaching."
translate English to Oku: In this world you will have trouble. But take heart! I have overcome the world.',"Ghene yene ngek e mbi fen, dî ne ghen kul eytem bek ge me taamen è chia mbi."
"translate English to Oku: As they were walking along the road, a man said to him, ""I will follow you wherever you go.""","Se lu ka ghene nè nduun ɛ eynchii di, wel əblee me suuy se Jesus ge: ""Mɛ nǎǎ ye koŋ wè ɛ eysak ejim wɛ wè nè nduun ɛ ten."""
translate Oku to English: Əb nè lu se kuo se chintene ghele Feyin ghe é saaken e mbi.,"but also for the scattered children of God, to bring them together and make them one."
"translate Oku to English: Nchiy-ndaa-fise ge: Lu mɛ Gabliel, nɛ mɛ fɛle sakghɛ əbjuŋ yin se wɛ̀.","The angel said to him, ""I am Gabriel. I stand in the presence of God, and I have been sent to speak to you and to tell you this good news."
translate English to Oku: But while everyone was sleeping his enemy came and sowed weeds among the wheat and went away.,Nεy se lu nε ntəkε nε ghele buunemen wel əbbaanese nə wen gwiy è mak ngos əbgii se ten è lòò.
"translate English to Oku: He released the man who had been thrown into prison for insurrection and murder, the one they asked for, and surrendered Jesus to their will.","Əb nè fǝyse wel we ǝb nè nduun nchak ne ab nè ndu bek ka ǝb nè luun & mǝme kenon ke ke nè losen abchio ɛ ntek ge é bak eysak, gese ka ǝb nè yuyen wel, è me fo Jesus ge é yúy ka ghene nè kerjen."
"translate Oku to English: Ghel clee kɛɛte se ye tio telie & wen abghun, é kul ɛshie a wen, è se kfənle wen suuye ge, ab chio ge se kfənle nde wen-a? Ghele nchiye me lie wen è se tele nduu so.","Then some began to spit at him; they blindfolded him, struck him with their fists, and said, ""Prophesy!"" And the guards took him and beat him."
translate English to Oku: Love your enemies and pray for those who persecute you.,Ghɛn yɛ koŋe ghele əbbaanese nə ghɛn jeme se ghel ghɛ é nəksɛn ghɛn.
translate Oku to English: Gwiye é ghεsoo chɛkle.,Come and share your master’s happiness!'
translate English to Oku: è fo se ghel ghii ghɛ é nεεyen əbnəə wε Feyine kɛŋen.,Mε me se suuye se ghen ge: É náà fii kelən kɛ Feyine foon se ghen ε wen ə mɛme εysak
"translate Oku to English: Jesus lie wel vi, ghene wen fǝynen se ghele məm, əb vii ghon eghoo se wele ten ǝbtuule, è tio eylie, è kum keleeme a wele ten so.","After he took him aside, away from the crowd, Jesus put his fingers into the man’s ears. Then he spit and touched the man’s tongue."
translate Oku to English: Loo wè koηe se lii ε məme εychii kol εysak nə Feyin.,"If you want to enter life, keep the commandments."
"translate English to Oku: ""Whoever welcomes one of these little children in my name welcomes me; and whoever welcomes me does not welcome me but the one who sent me.""","37Naa nde we ǝb fiisen wán ka vin bek me lu ne ab fiisen ne lu me, ne naa nde we ǝb fiisen me báà fiisen ken me, ab fiisen ne lu wel we ǝb nè tumen me."
"translate English to Oku: What do you want with us, Son of God? they shouted.",Wan ə Feyin wè kɛŋe se nɛɛy ghɛ se ghɛs?
translate English to Oku: and Pilate ordered that it be given to him.,Bailɛt bééme è suuy ge é ndu è səkse è fo se wen.
"translate Oku to English: Jesus nè lúúsen keyioy əbe əblee wɛ ab nè neey ge wel băǎ se suŋnen mok-a. Se lu ka keyioy əbe di nè lòòmen di, wel wɛ ab nè luun wel-əbkùk di me keete se ye suŋnen. Ghel ejim me chiyte naa se ŋaŋ.","Jesus was driving out a demon that was mute. When the demon left, the man who had been mute spoke, and the crowd was amazed."
"translate English to Oku: I have not come to call the righteous, but sinners to repentance.""","Mɛ bɛey gwiy ge mɛ ye yio ghel ejunje, dí mɛ gwiy ge mɛ ye yio ghel eybame ge ghene kubsen tetem ə ghen."
translate Oku to English: Jesuse wê Nazalet wè kene se jel legy se ghes? Wè gwiymen se meyse ghes-a?,"’What do you want with us, Jesus of Nazareth? Have you come to destroy us?"
"translate Oku to English: Ghele mbiy se ghé ntarŋlee, ghene ghel ɛjim ghe é nè luun e eydiom fo, me se kerne kenəə ke toy e Jesus abghun é yúy wen, è chèmè jia yen ghey.","The chief priests and the whole Sanhedrin were looking for evidence against Jesus so that they could put him to death, but they did not find any."
"translate Oku to English: Ghel elee se gwiye nè ghone etɛlee se Jesus ge ǝb kum nè keghoo nzəətee, ghon-eyfel nə wene séy se yole ghene yolen.","People were bringing little children to Jesus for him to place his hands on them, but the disciples rebuked them."
"translate Oku to English: Ghene me suuy ge: Yen-a Báàba, fiakse shi fen sebaa. Jesus fise ge: Ke kwen di.","The disciples said, 'See, Lord, here are two swords.' 'That's enough,' he replied."
translate Oku to English: Nεy loo lu ε kechii ké mbiye əbliy εyyiε keban kε tóó ghàà feshik è kaŋ ghon-εyfεl nə Jesus gwiy è bif se wen ge: Wè kεŋe ge ghεs nεyté əbfua-əbyíéne wε wè nêy yiε Kechii Eyboyse so ghááy?,"On the first day of the Festival of Unleavened Bread, the disciples came to Jesus and asked, 'Where do you want us to make preparations for you to eat the Passover?'"
translate English to Oku: Be on guard! Be alert! You do not know when that time will come.,"Ghen toknen, è ye lu kebaaten [jeme] bek ge wele báà se ke ǝbliy we ke yî gan ɛ ten."
translate English to Oku: And the man who marries a divorced woman commits adultery.,É lòó é yε lu dî bek ge əbvii vi báà se nεεy lu kebee.
"translate English to Oku: Just then a man in their synagogue who was possessed by an impure spirit cried out,",Se lu ken ǝbliy në fry wel ǝblee & ghene ngay eyjem ne eyfime lu & wen ǝbler me ton & ghene məm ge:
translate English to Oku: And Judas went to the chief priests and the officers of the temple guard and discussed with them how he might betray Jesus.,"ǝb me ndu è yen ghele mbiy se ghé ntaŋlee, ghene ǝbtuu se ghel ghe é chiyen ndaa-eykokse Feyin, ghene ghene se siyse jii ye ǝb nêy din Jesus é koo."
"translate Oku to English: Ghé eydinte tesak clee suuy se wen ge: Ndinte, wè suuy kejun.","Some of the teachers of the law responded, 'Well said, teacher!'"
translate Oku to English: Judas me warŋ əbkaa vi se ndaa-eykokse è fǝy è ndu è shiŋse.,So Judas threw the money into the temple and left. Then he went away and hanged himself.
"translate English to Oku: I tell you, yes, and more than a prophet.",Mε suuy əbluuy ge ghεn nè yεn wel nε əb chia wele ntum nə Feyine.
translate Oku to English: Ndinte suuy-a ge əbliy εykuo nə yi kwεnmen nε yi kεŋe ge ghene ghon-εyfεl nə yi yiε Kechii Eyboyse ε wene ndaa.,‘The Teacher says: My appointed time is near. I am going to celebrate the Passover with my disciples at your house.’'
translate English to Oku: Our Father in heaven hallowed be your name.,Ba ə wɛs wɛ əb luun ɛ ɛyyio nɛɛy é ghele yɛ ngvəmle ɛyghel ə yiɛ.
"translate Oku to English: 10 Se cybame ten Jesus se wene ngen tum ghon-eyfel nə wen ge é ndu əblik əbjim ɛ mbi nè sakghe ǝ Feyin we ǝb jia yî mey, sakghe we ǝb fóon eyboy yɛ εγ jia yî mey.]","[After this, Jesus himself sent out through them from east to west the sacred and imperishable message of eternal salvation.]"
translate Oku to English: Ghé mbiy nə ghele Juuse me se nakse Jesus bek ka ab kè chuken wel e kechii eybam.,"So, because Jesus was doing these things on the Sabbath, the Jewish leaders began to persecute him."
"translate English to Oku: Just as Jesus was coming up out of the water, he saw heaven being torn open",Jesus se fǝye gwiye se jio e leghe è me yen ka eyyio disen
"translate Oku to English: Ghene loo lii, è yen ne é chan wán a kembɛɛybiy, ne wel ne bɛɛy ghàà kok, è yas è gwiy so.","'and as you enter it, you will find a colt tied there, which no one has ever ridden. Untie it and bring it here.'"
"translate Oku to English: Helod nè lóó yio kenəə ke Joon suuyen, ke ye foo ngek se wen naa se ŋan, dĩ nɛ ǝb ko koje se ye yiote.","When Herod heard John, he was greatly puzzled; yet he liked to listen to him."
"translate English to Oku: Immediately the boy’s father exclaimed, ""I do believe; help me overcome my unbelief!""","Əb suuy di & leghe, ba ǝ wan vi me jarŋ è suuy ge: Me lu ne me fó cytem se Feyine, giamten é me loote fo!"
translate English to Oku: for a time is coming when all who are in their graves will hear his voice,Əbliye gwiye we ghel ɛjim ghe é nè kuomen nêy yio gie ǝ wen;
translate Oku to English: Jesus suuy se ghel ghe é nè félen fo ge: Ghen lunse nton shin nè moome. Ghene me vii moo se ten se lunke.,"Jesus said to the servants, 'Fill the jars with water'; so they filled them to the brim."
translate English to Oku: kene əbliy wε əbnəə vine náà gan ε ten.,Wele báà se ke kechii
"translate Oku to English: 'Ghel nè chamen eyshee, ghene nè nyok, è ghel-eyfɛl nè bosen əbvii, è ghel-əbvii nè nduun ɛ eghoo əbvii ndu è chin ɛ chuy wɛ Noa nè jame ɛ eychie-əbkuo di.'","'People were eating, drinking, marrying and being given in marriage up to the day Noah entered the ark.'"
"translate English to Oku: As you are going with your adversary to the magistrate, try hard to be reconciled on the way, or your adversary may drag you off to the judge, and the judge turn you over to the officer, and the officer throw you into prison.","Lòó wè nè nduun nè wel-eybee na vie ɛ ketuu wele-kfə̀-əbame di, neey kelaanen geese ɛ eynchii ge ghen neey eyzəəte, bek ka ab nǎǎ ye fii wè ɛ ketuu wele-kfə̀-əbame, nɛ wele-kfə̀-əbame me fii wè ɛ ketuu nchiyse-ndaa, è nchiyse-ndaa me fii wè ɛ ndaa-əbkuo."
"translate Oku to English: Se lu ken nè ntake fo, nɛ gay selee lu abkwak ɛ eyghane Betlehem toknen nè bvayse ghene.","And there were shepherds living out in the fields nearby, keeping watch over their flocks at night."
"translate English to Oku: and then he said to his disciples, 'Let us go back to Judea.'",è ney me suuy se ghon-eyfel wene ge: Ghesen kase ndu se Judea.
translate Oku to English: Ngose wel gwiy nè ghε é nè kfəfe nè εkεblene nè ghε é nè yafen nè əbchichii,"Great crowds came to him, bringing the lame, the blind, the crippled, the mute and many others,"
translate Oku to English: Ke lu kejuŋ se ghel ghɛ é koosen ɛysen bek ge Feyine náà koosen ɛysen se ghene.,Blessed are the merciful for they will be shown mercy.
"translate English to Oku: Remain in me, as I also remain in you.","Ghen balen è gok se me ǝbghun, é me gok ghesen."
translate Oku to English: Ghele me lake wen bek ka ghene nè keele ge ab me kuo.,"They laughed at him, knowing that she was dead."
"translate Oku to English: Nè lu dî ne ghele mbiye se ghé ntarŋlee ghene ghele kenone Falisee fomen eysak ge naa nde yen ghaa Jesus luun, əb din é koo.",But the chief priests and the Pharisees had given orders that anyone who found out where Jesus was should report it so that they might arrest him.
"translate English to Oku: If so, the host who invited both of you will come and say to you, ’Give this person your seat.’ Then, humiliated, you will have to take the least important place.","nɛ wel wɛ ab me yio ghen abjim di nǎǎ ye gwiy è suuy se wè ge: 'Fò eysak se wel nè vin.' Ken e leghe eysen nǎǎ ye kookse wè, è wè me ndu è jame ɛ teychie wɛ ab lu ɛ mbiy di."
translate Oku to English: Báàba loo lu nɛ wè koŋe wè nɛɛy é mɛ bonen.,"Lord, if you are willing, you can make me clean."
"translate English to Oku: ""What should we do then?"" the crowd asked.",Kenone ghel ki yio è me bif se Joon ge: Lòó ghes neey ghɛ ɛ leenen?
"translate English to Oku: And they crucified him. Dividing his clothes, they cast lots to see what each would get.","ǝb bante wen se kentam, è lie ndəyse ǝ wen, è mak kan se yen ge é se giate lexy-a?"
"translate Oku to English: Ketuu se ghế ntaŋlee yio di è me sas ndayse wen nè ngen wen, è suuy ge: Lòó é jia bo ye keje kenǝǝ kenen kum wen.","The high priest tore his clothes. ""Why do we need any more witnesses?"" he asked."
"translate English to Oku: Once more he visited Cana in Galilee, where he had turned the water into wine.",Jesus ney fiile se Kana e Galilee ghaa ǝb nè bensen moo se əmnduk.
"translate Oku to English: Ghene me diom & ngoose & ngoose, nɛ ngoo selee lu ghel abvie ne selee lu ghel əmmtan.",So they sat down in groups of hundreds and fifties.
translate English to Oku: Go! Let it be done just as you believed it would.,Yɛɛ kfəəye ke gan kɛn ka wè beemen se mɛ.
"translate English to Oku: Pray that this will not take place in winter,",Ghen jem se Feyine ge ǝb bukse əbnəə vin fe ǝb yî gan nè bèn.
translate Oku to English: Ab me gwiy è ab me kuo ɛ ketuu teychak na Jesus è ab nè lake eytem ɛ ketuu na wen.,He threw himself at Jesus' feet and thanked him—
"translate Oku to English: Bek ka Joon Nfoo Moo gwiyimen, nɛ ab chame amchio nɛ ab chame amnduk-am-ngantene, nɛ ghen me suuy ge: 'Keyioy əbe lu ɛ wen ə eytem.","For John the Baptist came neither eating bread nor drinking wine, and you say, ’He has a demon.’"
"translate English to Oku: He is the one who comes after me, the straps of whose sandals I am not worthy to untie.'","Əb bo gwiye eybam, ne chèmè lu ken nkfəəse guose evəə nə wen fene me báà se lu kekwenten ka lòó me yayte."
"translate English to Oku: Two blind men were sitting by the roadside,",Ghel εyfεf əbbaa me diom se beelese.
"translate English to Oku: They led Jesus to the high priest, and all the chief priests, the elders and the teachers of the law came together.","& me lie Jesus è ndu nè wen se ndaa nə ketuu se ghe ntarŋlee ghaa ghele mbiy se ndaa-eykokse Feyin, nè cheese, gese nè ghé eydinte tesake nè konen."
"translate Oku to English: Ngɛkse ghene ǝbbaanese loo gwiy bek kenəə ə Feyin në kin, ghene me fey ken se ǝbliy.","When trouble or persecution comes because of the word, they quickly fall away."""
"translate Oku to English: Judas fii keban ki e leghe, Satan me lii se wen eytem.","As soon as Judas took the bread, Satan entered into him."
translate English to Oku: Jeconiah was the father of Shealtiel and Shealtiel the father of Zerubbabel.,Jekonia bii Shealtiel wɛ ba ə Zelubbabel.
"translate English to Oku: Before long, the world will not see me anymore, but you will see me. Because I live, you also will live.","Se moote ken le é ghele ghe mbii jia bo ye yene me ghey, dî ne ghene ye yene me, ne ka me chiin lu ne ghene ye chii sey."
"translate Oku to English: ""Wan əbluumen əblee lu fen ki ntukse keban setan nè səə sebaa, dĩ nɛ áb báà chỉn ka lòó ghel ghine yić.","'Here is a boy with five small barley loaves and two small fish, but how far will they go among so many?'"
translate Oku to English: Ghene nè lɵ̂ gese suuy əbnəə əbyafene se wen naa se eydio.,And they said many other insulting things to him.
"translate Oku to English: Wel we ǝb baken wiy ghesen, toke ghesen token.",for whoever is not against us is for us.
